clarity,price,cut_Fair,cut_Good,cut_Ideal,cut_Premium,cut_Very Good,color_D,color_E,color_F,color_G,color_H,color_I,color_J,carat,depth,table,x,y,z
4,726,0,0,0,0,1,0,0,0,1,0,0,0,-0.923680039709168,-0.38752063688908134,1.1161065635609013,-1.0430575867034395,-1.0254211248950598,-1.0632159800634027
7,947,0,0,1,0,0,0,0,1,0,0,0,0,-1.0496380009077688,0.1781541848858938,-0.6408482292007498,-1.2739441486874337,-1.2491271105744683,-1.2354845145531763
6,2426,0,0,0,0,1,1,0,0,0,0,0,0,-0.5877921431795659,-1.3774515749952954,-1.0800869273911626,-0.4036794150554552,-0.34535492842965776,-0.5176989541791182
2,4183,0,1,0,0,0,0,1,0,0,0,0,0,0.25192759814443944,1.3802131811577223,-0.20160953101033707,0.360022289968525,0.33471126803574497,0.515912252759525
2,8752,0,0,1,0,0,0,0,0,0,0,1,0,1.490514216597347,-0.38752063688908134,0.2376291671800757,1.4345328284324979,1.4890341541414933,1.3916106364158756
2,792,0,0,1,0,0,0,0,1,0,0,0,0,-0.7767290849774671,-0.033973873279720616,-1.5193256255815755,-0.7766500151834457,-0.7480257026525926,-0.7617460447062985
4,825,0,0,1,0,0,0,1,0,0,0,0,0,-1.0076520138415686,0.03673547944214751,-0.6408482292007498,-1.1851416248474353,-1.1685929557298813,-1.1637059585157707
2,1651,0,0,1,0,0,1,0,0,0,0,0,0,-0.5877921431795659,0.5317009484952545,-0.6408482292007498,-0.483601686511453,-0.533267956400361,-0.44592039814171264
2,649,0,0,0,1,0,0,1,0,0,0,0,0,-0.9026870461760679,0.03673547944214751,0.2376291671800757,-1.01641682955144,-0.9806799277591782,-0.9914374240259965
1,3103,0,0,1,0,0,0,1,0,0,0,0,0,0.0629906563465381,0.10744483216402065,-1.958564323771988,0.27121976612852755,0.30786654975421573,0.30057658464730774
6,431,0,0,0,0,1,0,0,0,1,0,0,0,-1.1965889556394698,0.7438290066608689,-1.0800869273911626,-1.602513486895425,-1.5981084482343455,-1.5369544499102805
3,668,0,0,0,1,0,0,0,0,0,1,0,0,-0.9866590203084683,0.7438290066608689,0.6768678653704885,-1.1496206153114361,-1.2133341528657628,-1.106283113685846
5,1033,0,0,0,1,0,0,0,0,0,1,0,0,-0.8816940526429677,-0.38752063688908134,1.1161065635609013,-0.9187340533274422,-0.9448869700504727,-0.9627260016110343
3,1851,0,0,0,1,0,0,1,0,0,0,0,0,-0.48282717551406534,-0.5289393423328276,0.2376291671800757,-0.3770386579034564,-0.3543031678568339,-0.4172089757267503
2,956,0,0,0,1,0,0,0,0,0,0,0,1,-0.608785136712666,-0.033973873279720616,-0.6408482292007498,-0.501362191279453,-0.533267956400361,-0.5176989541791182
2,2196,0,0,0,0,1,0,0,1,0,0,0,0,-0.20991825958376362,0.46099159577338134,-0.6408482292007498,-0.08399032923146377,-0.03216654847848527,-0.0008933507097965915
3,5353,0,0,0,0,1,0,0,0,1,0,0,0,0.503843520541641,-0.24610193144534007,2.4338226581321396,0.6885916281765168,0.7284338028315036,0.6738250760418176
7,7367,0,0,1,0,0,0,0,0,0,0,1,0,0.8397314170712429,-0.17539257872346692,-0.6408482292007498,0.9372386949285108,0.9879327462196177,0.9322278777764793
1,7755,0,0,0,1,0,0,0,1,0,0,0,0,1.3015772747994458,-1.4481609277171634,-0.20160953101033707,1.4167723236644987,1.3995517598697294,1.1906306795111399
1,3633,1,0,0,0,0,0,0,0,1,0,0,0,0.5458295076078413,2.5115628247076724,1.9945839599417268,0.5287470852645211,0.4599866200162135,0.81738218811663
2,7066,0,0,0,0,1,0,0,0,0,1,0,0,1.5744861907297476,1.0266664175483615,-0.20160953101033707,1.4345328284324979,1.4084999992969056,1.5782348821131305
1,4989,0,0,1,0,0,0,1,0,0,0,0,0,0.5878154946740416,-0.033973873279720616,-0.20160953101033707,0.7241126377125159,0.7731749999673853,0.7456036320792231
7,1409,0,0,0,0,1,0,1,0,0,0,0,0,-0.8816940526429677,0.5317009484952545,0.6768678653704885,-0.99865632478344,-0.9806799277591782,-0.9340145791960719
4,675,0,0,0,0,1,0,0,1,0,0,0,0,-1.0286450073746687,-0.8117767532203152,-1.0800869273911626,-1.1762613724634357,-1.1685929557298813,-1.2498402257606578
6,707,0,0,1,0,0,0,0,0,1,0,0,0,-1.0286450073746687,0.6731196539390008,-0.20160953101033707,-1.265063896303434,-1.2580753500016444,-1.192417380930733
4,5644,0,0,0,0,1,0,0,0,0,0,1,0,0.8187384235381427,-1.3067422222734222,1.555345261751314,0.990520209232509,1.0505704222098524,0.8317378993241108
3,8662,0,0,0,0,1,0,0,0,0,0,1,0,1.469521223064247,-2.3673825131015045,1.555345261751314,1.4966945951204964,1.560620069558904,1.161919257096177
3,473,0,1,0,0,0,0,0,0,0,1,0,0,-1.0496380009077688,1.238794475713976,0.2376291671800757,-1.3272256629914319,-1.311764786564703,-1.2067730921382138
3,8128,0,0,0,1,0,0,0,0,1,0,0,0,0.9027103976705434,-0.45822998961095446,-0.20160953101033707,1.088202985456507,1.0505704222098524,1.004006433813885
2,663,0,0,1,0,0,1,0,0,0,0,0,0,-0.923680039709168,0.24886353760776694,-0.6408482292007498,-1.0696983438554384,-1.0343693643222358,-1.020148846440959
7,2059,0,0,1,0,0,0,0,0,0,1,0,0,-0.5667991496464657,-0.24610193144534007,-1.0800869273911626,-0.46584118174345385,-0.44378556212859704,-0.47463182055667497
1,4234,0,0,0,1,0,0,0,0,0,1,0,0,0.5248365140747412,0.8852477121046152,0.6768678653704885,0.661950871024518,0.6300031691325644,0.7599593432867052
5,1947,0,0,0,1,0,1,0,0,0,0,0,0,-0.7137501043781667,-1.236032869551549,0.6768678653704885,-0.61680547227145,-0.6585433083808295,-0.7617460447062985
2,2673,0,0,0,0,1,0,0,1,0,0,0,0,-0.16793227251756332,-0.45822998961095446,-1.5193256255815755,0.07585421368053273,0.09310880350198326,0.027818071705165755
2,12224,0,1,0,0,0,0,1,0,0,0,0,0,1.9103740872593495,1.4509225338795904,0.2376291671800757,1.603257623728494,1.560620069558904,1.7935705502253485
6,672,0,0,0,0,1,0,0,0,1,0,0,0,-1.0076520138415686,0.6024103012171277,-1.5193256255815755,-1.2117823819994349,-1.2043859134385868,-1.1493502473082893
7,924,0,0,1,0,0,0,0,0,1,0,0,0,-1.0286450073746687,-0.10468322600159377,-1.0800869273911626,-1.2384231391514344,-1.2043859134385868,-1.2211288033456953
2,5202,0,0,0,1,0,0,0,1,0,0,0,0,0.44086453994234054,0.6024103012171277,0.2376291671800757,0.5642680948005202,0.5226242960064481,0.6164022312118935
0,1334,1,0,0,0,0,0,0,0,0,0,0,1,0.1049766434127384,2.652981530151419,0.6768678653704885,0.1912974946725297,0.07521232464763096,0.4584894079296003
2,737,0,0,0,1,0,0,0,1,0,0,0,0,-0.8397080655767674,-0.38752063688908134,0.2376291671800757,-0.9098538009434426,-0.8911975334874143,-0.9340145791960719
2,4559,0,1,0,0,0,0,0,0,0,1,0,0,0.44086453994234054,-1.0239048113859346,2.873061356322552,0.6797113757925172,0.7105373239771513,0.5589793863819689
7,789,0,0,1,0,0,0,0,0,0,1,0,0,-1.0286450073746687,0.03673547944214751,-0.20160953101033707,-1.2561836439194336,-1.240178871147292,-1.2354845145531763
2,4853,0,1,0,0,0,0,1,0,0,0,0,0,0.44086453994234054,-0.5996486950547008,2.873061356322552,0.49322607572852195,0.43314190173468425,0.3867108518921948
2,579,0,0,0,1,0,0,1,0,0,0,0,0,-0.9866590203084683,-0.5996486950547008,0.2376291671800757,-1.131860110543437,-1.1059552797396468,-1.1637059585157707
1,505,0,0,0,1,0,0,1,0,0,0,0,0,-0.923680039709168,-0.8117767532203152,0.6768678653704885,-1.0341773343194391,-1.0075246460407066,-1.0919274024783652
5,2830,0,0,1,0,0,0,0,1,0,0,0,0,-0.5667991496464657,-0.5996486950547008,-0.20160953101033707,-0.4480806769754539,-0.3990443649927155,-0.5033432429716374
4,10335,0,0,1,0,0,1,0,0,0,0,0,0,0.8607244106043431,-0.5289393423328276,-0.20160953101033707,1.0171609663845085,0.9968809856467938,0.9322278777764793
1,4837,0,0,1,0,0,1,0,0,0,0,0,0,0.44086453994234054,-0.8824861059421883,-0.20160953101033707,0.7063521329445167,0.7731749999673853,0.6164022312118935
3,1576,0,0,1,0,0,0,1,0,0,0,0,0,-0.5877921431795659,-0.17539257872346692,-0.6408482292007498,-0.4924819388954534,-0.4795785198373025,-0.5033432429716374
1,4751,0,0,1,0,0,0,1,0,0,0,0,0,0.44086453994234054,-1.8017076913265242,-0.6408482292007498,0.7951546567845142,0.7642267605402091,0.5302679639670065
2,4175,0,0,0,0,1,0,0,0,0,0,1,0,0.503843520541641,0.5317009484952545,1.9945839599417268,0.5820285995685194,0.6389514085597405,0.6738250760418176
5,868,0,0,1,0,0,0,0,0,1,0,0,0,-0.9866590203084683,-0.033973873279720616,-0.6408482292007498,-1.1407403629274366,-1.132799998021176,-1.1349945361008082
2,9892,0,1,0,0,0,0,0,0,1,0,0,0,1.469521223064247,-1.0946141641078027,1.555345261751314,1.3634908093604996,1.4174482387240825,1.2193421019261015
4,9133,0,0,1,0,0,0,0,0,1,0,0,0,0.9027103976705434,-0.24610193144534007,-0.6408482292007498,1.088202985456507,1.0505704222098524,1.0327178562288466
6,564,0,0,0,0,1,0,1,0,0,0,0,0,-1.1336099750401694,-0.6703580477765739,1.555345261751314,-1.4337886915994293,-1.4370401385451714,-1.4795316050803564
3,16778,0,0,0,1,0,0,0,0,0,0,1,0,2.540163893252353,0.7438290066608689,0.2376291671800757,2.020629485776483,1.972239083209016,2.1093961967899335
6,2093,0,0,0,1,0,0,0,1,0,0,0,0,-0.608785136712666,-0.8824861059421883,0.6768678653704885,-0.5191226960474522,-0.5064232381188317,-0.6038332214240052
4,7528,0,0,1,0,0,0,1,0,0,0,0,0,0.44086453994234054,0.6731196539390008,-1.0800869273911626,0.5909088519525197,0.6389514085597405,0.7025364984567806
3,537,0,1,0,0,0,0,0,0,0,1,0,0,-0.9656660267753682,1.0973757702702296,-0.6408482292007498,-1.1940218772314357,-1.1506964768755283,-1.0632159800634027
3,2549,0,0,0,1,0,0,0,0,0,1,0,0,-0.18892526605066348,0.24886353760776694,0.45724851627528207,-0.048469319695464634,-0.005321830196956013,0.013462360497684263
5,530,0,0,0,0,1,0,1,0,0,0,0,0,-1.1965889556394698,0.03673547944214751,0.6768678653704885,-1.6291542440474245,-1.6160049270886983,-1.6087330059476868
4,2829,0,0,1,0,0,0,0,1,0,0,0,0,-0.16793227251756332,-0.033973873279720616,-0.20160953101033707,0.03145295176053322,0.0036264092302201404,0.013462360497684263
5,12648,1,0,0,0,0,0,0,1,0,0,0,0,1.0916473394684447,-2.650219923988992,3.751538752703378,1.3990118188964986,1.381655281015377,0.9896507226064041
1,7256,0,0,0,1,0,0,0,0,0,0,1,0,1.5744861907297476,-0.17539257872346692,0.2376291671800757,1.4700538379684969,1.5427235907045511,1.4777449036607633
4,621,0,0,0,0,1,0,0,0,1,0,0,0,-0.9866590203084683,-0.10468322600159377,-0.20160953101033707,-1.1673811200794362,-1.0970070403124705,-1.1349945361008082
2,542,0,0,1,0,0,0,1,0,0,0,0,0,-1.0286450073746687,0.03673547944214751,-1.5632494954006173,-1.2561836439194336,-1.240178871147292,-1.2354845145531763
2,5543,0,0,0,1,0,1,0,0,0,0,0,0,0.44086453994234054,-0.10468322600159377,1.1161065635609013,0.6530706186405176,0.6210549297053874,0.6164022312118935
4,399,0,0,0,0,1,0,0,0,0,1,0,0,-1.1336099750401694,0.1781541848858938,-0.6408482292007498,-1.4693097011354284,-1.4549366173995237,-1.4364644714579127
3,1774,0,0,0,1,0,1,0,0,0,0,0,0,-0.5877921431795659,0.03673547944214751,0.2376291671800757,-0.5191226960474522,-0.4795785198373025,-0.4889875317641558
3,9088,0,1,0,0,0,0,0,0,0,1,0,0,1.2805842812663457,1.4509225338795904,1.1161065635609013,1.1592450045285052,1.2384834501805555,1.4059663476233564
2,3950,0,0,0,0,1,0,0,1,0,0,0,0,0.20994161107823914,1.3802131811577223,0.2376291671800757,0.28010001851252714,0.32576302860856804,0.4728451191370818
1,2388,0,1,0,0,0,0,1,0,0,0,0,0,-0.14693927898446318,1.0973757702702296,-0.20160953101033707,-0.03958906731146426,-0.01427006962413296,0.0995966277425713
7,1257,0,0,1,0,0,0,0,0,1,0,0,0,-0.8397080655767674,-0.45822998961095446,-0.6408482292007498,-0.8654525390234439,-0.8464563363515327,-0.8909474455736287
1,6990,0,0,0,1,0,0,0,1,0,0,0,0,1.6374651713290482,-0.741067400498442,1.1161065635609013,1.603257623728494,1.5874647878404327,1.4777449036607633
2,12063,0,0,0,1,0,0,0,0,0,1,0,0,2.7081078415171542,-0.8824861059421883,1.555345261751314,2.2959173096804766,2.2496345054514824,2.1093961967899335
0,4620,0,1,0,0,0,0,0,0,0,0,1,0,1.469521223064247,0.6024103012171277,2.4338226581321396,1.292448790288502,1.3548105627338478,1.4059663476233564
2,2583,0,0,0,0,1,0,0,1,0,0,0,0,-0.12594628545136302,-1.3774515749952954,0.2376291671800757,0.1380159803685306,0.1825911977737472,-0.0008933507097965915
3,3519,0,0,0,0,1,0,0,0,0,0,1,0,0.20994161107823914,1.0973757702702296,0.2376291671800757,0.2978605232805271,0.3526077468900973,0.4584894079296003
2,571,0,0,0,0,1,1,0,0,0,0,0,0,-1.0286450073746687,0.8852477121046152,-1.5193256255815755,-1.2561836439194336,-1.240178871147292,-1.1637059585157707
1,12182,0,0,0,1,0,0,0,0,0,0,1,0,2.540163893252353,0.3902822430515082,0.6768678653704885,2.020629485776483,1.9990838014905443,2.066329063167491
3,1662,0,0,0,1,0,0,1,0,0,0,0,0,-0.608785136712666,0.5317009484952545,0.6768678653704885,-0.5724042103514513,-0.5869573929634186,-0.5176989541791182
2,5664,0,0,0,0,1,0,0,0,0,1,0,0,0.5458295076078413,-1.7309983386046561,0.6768678653704885,0.8217954139365138,0.8626573942391491,0.6020465200044121
4,523,0,0,0,1,0,0,0,0,0,0,0,1,-1.0286450073746687,0.03673547944214751,0.6768678653704885,-1.247303391535434,-1.2759718288559976,-1.2498402257606578
6,2961,0,0,1,0,0,0,0,1,0,0,0,0,-0.3568692143154644,0.3902822430515082,-0.6408482292007498,-0.22607436737545952,-0.2111313370220123,-0.17316188519957068
3,2623,1,0,0,0,0,0,0,0,1,0,0,0,-0.18892526605066348,-3.3573134512077134,3.751538752703378,0.08473446606453232,0.066264085220454,-0.3167189972743824
1,1123,0,0,0,0,1,1,0,0,0,0,0,0,-0.6297781302457661,-2.0138357494921437,1.1161065635609013,-0.47472143412745343,-0.4527338015557732,-0.6756117774614114
2,3140,0,0,1,0,0,1,0,0,0,0,0,0,-0.14693927898446318,0.46099159577338134,-1.958564323771988,0.07585421368053273,0.0483676063661017,0.1139523389500528
4,729,0,0,0,1,0,0,0,0,0,0,1,0,-0.923680039709168,-0.5996486950547008,1.555345261751314,-0.99865632478344,-1.0343693643222358,-1.0632159800634027
2,743,0,0,0,0,1,0,1,0,0,0,0,0,-0.9866590203084683,1.0973757702702296,-0.6408482292007498,-1.1585008676954365,-1.1864894345842336,-1.0632159800634027
4,945,0,0,1,0,0,0,0,0,0,0,1,0,-0.8397080655767674,0.8852477121046152,-0.6408482292007498,-0.900973548559443,-0.9448869700504727,-0.833524600743704
1,683,0,0,1,0,0,1,0,0,0,0,0,0,-0.8187150720436673,-0.5289393423328276,-0.6408482292007498,-0.8476920342554439,-0.8106633786428273,-0.8765917343661472
7,954,0,0,1,0,0,0,0,0,1,0,0,0,-1.0076520138415686,-0.5996486950547008,-0.6408482292007498,-1.1762613724634357,-1.1685929557298813,-1.2211288033456953
2,6763,0,0,0,0,1,0,0,0,0,0,1,0,1.133633326534645,-0.45822998961095446,0.6768678653704885,1.1681252569125047,1.2384834501805555,1.133207834681215
4,1123,0,0,0,0,1,1,0,0,0,0,0,0,-0.8397080655767674,0.8145383593827421,-0.6408482292007498,-0.9453748104794417,-0.9180422517689435,-0.8478803119511849
3,8656,0,0,0,0,1,0,0,0,0,0,1,0,1.5534931971966475,0.3195728903296401,0.2376291671800757,1.407892071280499,1.462189435859964,1.4777449036607633
2,5556,0,0,0,1,0,0,0,0,0,0,1,0,0.8607244106043431,0.3902822430515082,0.6768678653704885,0.9549991996965099,0.925295070229383,0.9896507226064041
3,1746,0,0,1,0,0,0,1,0,0,0,0,0,-0.6297781302457661,0.03673547944214751,-1.0800869273911626,-0.5546437055834513,-0.6048538718177718,-0.5751217990090429
2,13766,0,0,0,1,0,0,0,1,0,0,0,0,1.8893810937262494,0.3902822430515082,0.2376291671800757,1.6831798951844918,1.6590507032578434,1.721791994187943
2,3991,0,0,0,1,0,0,0,0,0,1,0,0,0.4198715464092404,0.03673547944214751,1.1161065635609013,0.5642680948005202,0.5136760565792712,0.5446236751744874
3,781,0,0,1,0,0,0,0,1,0,0,0,0,-1.0076520138415686,-0.24610193144534007,-1.0800869273911626,-1.1673811200794362,-1.1596447163027044,-1.1780616697232515
3,1380,0,0,1,0,0,0,0,0,0,0,1,0,-0.39885520138166475,0.1781541848858938,-1.5193256255815755,-0.2615953769114586,-0.22007957644918846,-0.21622901882201387
1,1359,0,0,1,0,0,1,0,0,0,0,0,0,-0.608785136712666,0.10744483216402065,-0.6408482292007498,-0.5191226960474522,-0.5690609141090663,-0.5320546653865997
2,4795,0,0,1,0,0,0,0,1,0,0,0,0,0.20994161107823914,0.03673547944214751,0.2376291671800757,0.4221840566565237,0.45103838058903734,0.44413369672211944
2,2917,0,0,1,0,0,0,0,0,0,0,1,0,0.27292059167753957,0.1781541848858938,-0.20160953101033707,0.4310643090405233,0.46893485944338964,0.4728451191370818
2,2760,0,0,0,1,0,0,0,0,1,0,0,0,1.1675747237876753e-05,0.8852477121046152,0.6768678653704885,0.146896232752531,0.066264085220454,0.21444231740242067
1,1097,0,0,0,1,0,0,0,1,0,0,0,0,-0.5458061561133656,0.03673547944214751,1.555345261751314,-0.4036794150554552,-0.49747499869165557,-0.44592039814171264
5,959,0,0,1,0,0,0,0,1,0,0,0,0,-1.0286450073746687,0.03673547944214751,-0.6408482292007498,-1.2206626343834344,-1.2491271105744683,-1.2211288033456953
2,1926,0,0,0,0,1,0,1,0,0,0,0,0,-0.20991825958376362,1.0973757702702296,0.2376291671800757,-0.09287058161546335,-0.14849366103177764,0.013462360497684263
2,5854,0,0,1,0,0,0,0,0,0,1,0,0,0.650794475273342,-0.10468322600159377,-0.6408482292007498,0.8484361710885133,0.8895021125206783,0.7599593432867052
1,456,0,0,1,0,0,0,1,0,0,0,0,0,-1.0076520138415686,-0.3168112841672132,-0.6408482292007498,-1.1673811200794362,-1.1506964768755283,-1.1780616697232515
3,11268,0,0,0,1,0,0,0,0,0,1,0,0,1.490514216597347,0.7438290066608689,1.1161065635609013,1.3723710617445,1.3548105627338478,1.4633891924532811
4,2106,0,0,1,0,0,0,0,0,0,1,0,0,-0.31488322724926415,0.03673547944214751,-1.0800869273911626,-0.11951133876746291,-0.1574419004589546,-0.13009475157712683
3,7562,0,0,0,1,0,0,0,0,0,1,0,0,0.8607244106043431,-1.3067422222734222,0.6768678653704885,1.0704424806885078,1.0595186616370285,0.8748050329465547
2,5771,1,0,0,0,0,0,0,0,0,1,0,0,0.6927804623395419,2.5115628247076724,0.6768678653704885,0.6974718805605163,0.6300031691325644,0.9896507226064041
2,3336,0,0,1,0,0,0,0,1,0,0,0,0,-0.10495329191826287,0.03673547944214751,-0.6408482292007498,0.0936147184485319,0.11995352178351251,0.1139523389500528
4,397,0,0,0,0,1,0,0,0,0,0,1,0,-1.1755959621063696,0.03673547944214751,-0.6408482292007498,-1.5581122249754262,-1.5444190116712877,-1.551310161117762
2,589,0,0,0,0,1,1,0,0,0,0,0,0,-1.0076520138415686,0.7438290066608689,-0.6408482292007498,-1.2384231391514344,-1.240178871147292,-1.1637059585157707
4,338,0,0,0,0,1,0,0,0,0,1,0,0,-1.1965889556394698,-1.660288985882783,1.555345261751314,-1.5403517202074266,-1.5086260539625824,-1.6518001395701298
3,2922,0,0,0,0,1,0,1,0,0,0,0,0,-0.18892526605066348,1.0973757702702296,0.6768678653704885,-0.10175083399946294,-0.06795950618719067,0.04217378291264661
3,564,0,0,1,0,0,0,0,0,1,0,0,0,-1.0076520138415686,0.03673547944214751,-1.0800869273911626,-1.1851416248474353,-1.1685929557298813,-1.1637059585157707
2,2240,0,0,1,0,0,0,0,0,0,1,0,0,-0.20991825958376362,-0.24610193144534007,-0.20160953101033707,-0.08399032923146377,0.021522888084572447,-0.05831619553972128
2,803,0,0,1,0,0,1,0,0,0,0,0,0,-0.9656660267753682,0.3902822430515082,-0.20160953101033707,-1.114099605775437,-1.1596447163027044,-1.0919274024783652
4,2306,0,0,1,0,0,0,1,0,0,0,0,0,-0.4198481949147649,0.3195728903296401,-0.6408482292007498,-0.33263739598345693,-0.26482077358507,-0.2592961524444577
1,4479,0,0,0,0,1,0,0,0,0,1,0,0,0.3778855593430401,0.3195728903296401,1.1161065635609013,0.5109865804965211,0.5584172537151536,0.5733350975894497
5,3420,0,0,1,0,0,0,0,0,0,1,0,0,0.04199766281343794,0.8145383593827421,-0.6408482292007498,0.22681850420852884,0.15574647949221793,0.2862208734398269
0,1158,1,0,0,0,0,0,0,1,0,0,0,0,-0.20991825958376362,2.9358189410389115,-0.20160953101033707,-0.08399032923146377,-0.2111313370220123,0.18573089498745834
4,7487,0,0,1,0,0,0,0,0,1,0,0,0,0.6088084882071417,0.24886353760776694,-1.0361630575721208,0.7418731424805158,0.8000197182489145,0.8030264769091479
4,1577,0,0,1,0,0,0,0,0,0,1,0,0,-0.5877921431795659,0.46099159577338134,-1.0800869273911626,-0.483601686511453,-0.5064232381188317,-0.44592039814171264
3,2074,0,0,1,0,0,0,0,1,0,0,0,0,-0.3358762207823643,0.5317009484952545,-0.6408482292007498,-0.16391260068746163,-0.18428661874048305,-0.11573904036964598
2,2333,0,0,0,1,0,0,0,1,0,0,0,0,-0.20991825958376362,0.5317009484952545,0.6768678653704885,-0.07511007684746339,-0.05901126676001452,-0.0008933507097965915
6,1088,0,0,0,1,0,0,0,1,0,0,0,0,-0.8397080655767674,-0.741067400498442,0.2376291671800757,-0.9187340533274422,-0.8822492940602381,-0.9627260016110343
2,5248,0,0,0,0,1,0,0,1,0,0,0,0,0.44086453994234054,-0.741067400498442,0.2376291671800757,0.5909088519525197,0.6926408451227982,0.5446236751744874
2,3437,0,0,0,1,0,0,0,0,0,1,0,0,0.27292059167753957,-0.5996486950547008,1.555345261751314,0.44882481380852324,0.41524542288033195,0.3579994294772324
6,13247,0,0,1,0,0,0,0,0,0,0,1,0,1.8893810937262494,-0.033973873279720616,-0.20160953101033707,1.7187009047204909,1.6858954215393727,1.678724860565499
3,13761,0,0,1,0,0,0,0,0,1,0,0,0,1.5534931971966475,-0.8117767532203152,-0.20160953101033707,1.6121378761124934,1.5695683089860804,1.4633891924532811
7,837,0,0,1,0,0,0,0,0,0,0,1,0,-1.0286450073746687,0.3195728903296401,-1.5193256255815755,-1.1940218772314357,-1.2312306317201152,-1.1780616697232515
1,5152,0,0,0,1,0,0,1,0,0,0,0,0,0.650794475273342,0.6024103012171277,0.6768678653704885,0.8661966758565125,0.8179161971032676,0.9178721665689972
1,8431,0,0,0,0,1,0,0,1,0,0,0,0,1.469521223064247,0.3902822430515082,1.1161065635609013,1.3812513141284994,1.4353447175784348,1.4633891924532811
4,6691,0,0,1,0,0,0,0,0,0,0,1,0,0.8607244106043431,-0.17539257872346692,0.2376291671800757,0.9816399568485095,1.023725703928323,0.9752950113989219
3,2336,0,0,1,0,0,0,0,0,1,0,0,0,-0.440841188447865,0.10744483216402065,-0.20160953101033707,-0.2882361340634582,-0.3185102101481285,-0.2880075748594201
1,2867,0,0,0,1,0,0,0,1,0,0,0,0,0.3149065787437397,-2.3673825131015045,-0.20160953101033707,0.6708311234085176,0.6031584508510351,0.32928800706227007
5,1043,0,0,1,0,0,0,0,0,0,1,0,0,-0.8187150720436673,0.6731196539390008,-1.5193256255815755,-0.8476920342554439,-0.8464563363515327,-0.7761017559137793
3,1549,0,0,0,0,1,0,1,0,0,0,0,0,-0.608785136712666,-1.236032869551549,-0.20160953101033707,-0.5191226960474522,-0.48852675926447864,-0.6325446438389676
7,895,0,0,0,0,1,0,0,0,1,0,0,0,-1.0496380009077688,0.8145383593827421,0.2376291671800757,-1.3538664201434314,-1.3296612654190554,-1.2641959369681386
4,524,0,0,1,0,0,0,0,0,0,1,0,0,-1.0076520138415686,0.6731196539390008,-0.6408482292007498,-1.1940218772314357,-1.1775411951570576,-1.1206388248933274
6,620,0,0,1,0,0,0,1,0,0,0,0,0,-1.1126169815070692,-0.8824861059421883,-0.20160953101033707,-1.380507177295431,-1.3296612654190554,-1.4221087602504319
3,397,0,0,1,0,0,0,0,0,0,1,0,0,-1.1126169815070692,-0.8824861059421883,-0.20160953101033707,-1.3893874296794306,-1.383350701982113,-1.4508201826653941
2,6320,0,0,0,0,1,0,0,0,0,1,0,0,0.9656893782698438,0.24886353760776694,-0.20160953101033707,1.0171609663845085,1.0774151404913817,1.0757849898512903
